0.001,20
0.01,0.546666667
0.05,1.115
0.1,1.7525
0.2,2.653333333
0.4,3.679166667
0.6,4.205833333
0.8,4.621666667
1,4.8575
1.2,5.092916667
1.6,5.269583333
1.8,5.66875
2,5.75
2.5,5.75
3,5.83125
3.5,5.83125
4,5.9125
4.5,5.9125
5,6.00125
5.5,6.00125
6,6.022916667
6.5,6.022916667
7,6.044583333
7.5,6.044583333
8,6.06625
8.5,6.06625
9,6.087916667
9.5,6.087916667
10,6.109583333
10.5,6.109583333
11,6.13125
11.5,6.13125
12,6.152916667
12.5,6.152916667
13,6.174583333
13.5,6.174583333
14,6.19625
14.5,6.19625
15,6.217916667
15.5,6.217916667
16,6.239583333
16.5,6.239583333
17,6.26125
17.5,6.26125
18,6.334166667
18.5,6.334166667
19,6.4
19.5,6.41
20,6.5
