0.05,393.53
0.1,375.96
0.2,345.62
0.5,299.32
0.8,272.18
1,259.4
1.5,241.83
2,232.24
2.5,228.5
3,224.76
3.5,221.02
4,217.28
4.5,213.54
5,206.71
5.5,206.3
6,205.89
6.5,205.48
7,205.07
7.5,204.66
8,204.25
8.5,203.84
9,203.43
9.5,203.02
10,202.75
10.5,202.55
11,202.35
11.5,202.15
12,201.95
12.5,201.75
13,201.55
13.5,201.35
14,201.15
14.5,200.95
15,200.72
15.5,200.52
16,200.32
16.5,200.12
17,199.92
17.5,199.72
18,199.52
18.5,199.32
19,199.12
19.5,198.92
20,198.72
