0.04,20
0.05,6.200833333
0.1,6.184166667
0.5,5.735
1,5.202916667
1.5,4.737083333
2,4.138333333
2.5,3.864166667
3,3.539583333
3.5,3.3
4,2.940833333
4.5,2.7
5,2.54125
5.5,2.3
6,2.1425
6.5,1.9
7,1.81
7.5,1.6
8,1.54375
8.5,1.5
9,1.481666667
9.5,1.3
10,1.297083333
10.5,1.2
11,1.145416667
11.5,1
12,1.027083333
12.5,0.99
13,0.938333333
13.5,0.89
14,0.849583333
14.5,0.8
15,0.7825
15.5,0.75
16,0.7275
16.5,0.69
17,0.66125
17.5,0.65
18,0.620416667
18.5,0.618
19,0.615583333
19.5,0.613166666
20,0.610749999
